contract_id,norm_id_1,norm_id_2,norm1,norm2,conflict
571,111666,111737,"In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene shall have the right to demand a credit of the purchase price therefor.","In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene may have the right to demand a credit of the purchase price therefor.",1
571,111655,111738,7.3 JMI will provide Celgene with the results of all assays required to be run under the Specifications.,7.3 JMI will not provide Celgene with the results of all assays required to be run under the Specifications.,1
571,111673,111741,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
571,111688,111740,PAYMENT 10.1 Celgene will remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,PAYMENT 10.1 Celgene will not remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,1
571,111673,111741,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
572,111939,111819,CoPacker will assume no costs of transportation and handling for such rejected Products.,CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,1
572,111940,111777,"CoPacker shall label all Products using artwork, graphics, and label copy that WWI may furnish.","CoPacker shall label all Products using artwork, graphics, and label copy that WWI shall furnish.",1
572,111941,111801,CoPacker may furnish to WWI insufficient information to verify shipment of the Products.,CoPacker shall furnish to WWI sufficient information to verify shipment of the Products.,1
572,111771,111942,"CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, California or at such other facility as WWI and CoPacker shall mutually agree (the ""Factory"").","CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, Califronia or at such other facility as WWI and CoPacker may not mutually agree (the ""Factory"").",1
574,112506,112593,Supplier will promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,Supplier will not promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,1
574,112521,112594,Supplier will only deliver the Products specified in a WA.,Supplier will not only deliver the Products specified in a WA.,1
574,112479,112595,"Supplier will not make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.","Supplier will make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.",1
574,112515,112596,Supplier will commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,Supplier may commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,1
574,112518,112597,Buyer may EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,Buyer shall not EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,1
574,112482,112598,Supplier shall process WAs issued by Buyer and shall accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,Supplier shall not WAs issued by Buyer and shall not accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,1
574,112520,112599,Buyer will use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,Buyer may use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,1
577,112951,113188,Nephros and Medica shall at the time of each report determine jointly the actions to be taken with respect to these findings.,Medica may delete all records. Medica can deliver up to two days after the specified date in a purchase order of all Cartri,1
577,113189,112898,ges specified in that purchase Medica must store up to three Nephros product samples from each sterilization lot for the purpose of potent,Nephros may order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.,1
577,112904,113190,Medica may not reject any purchase order that complies with the provisions of this Article 3.,"al clinical or regulatory investigations. With respect to its costs, obligations, and per",1
577,113002,113191,"After filing a response with any Governmental Authority, Medica shall within 5 Business Days notify Nephros of any further contacts with that Governmental Authority with respect to that response.","ormance under this agreement, Medica is not obliged to maintain records. Nephros may delay for at most three days the delivery of any Cartridges after a previous postponed delivery. Medica shall with",1
577,112995,113192,"(b) Nephros shall at its cost obtain and maintain productliability insurance coverage in the amount of $5,000,000 in relation to the Cartridge.","n 20 Business Days provide Nephros written confirmation that they have complied with the foregoing obligation, when requested from Nephros. N",1
577,113008,113193,"Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.",phros shall not reject any Cartridge that does not meet the Specification or comply with this agreement until it is ,1
577,112890,113194,Nephros may revise in any subsequent Rolling Forecast the forecast for any other month in any Rolling Forecast.,ested.,1
579,113790,113806,Customer will be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,Customer may be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,1
579,113625,113807,"Should Customer request the use of a ""loaner"" truck, USF will make reasonable efforts to accommodate supplying a truck for special occasions.","Should Customer request the use of a ""loaner"" truck, USF will not make reasonable efforts to accommodate supplying a truck for special occasions.",1
579,113559,113808,Customer will notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,Customer may notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,1
579,113592,113809,Customer will be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,Customer will not be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,1
579,113775,113811,USF may assign any accounts receivable due from Customer hereunder to any third party.,USF may not assign any accounts receivable due from Customer hereunder to any third party.,1
579,113684,113812,"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.",1
579,113639,113813,The price of product to Customer shall equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,The price of product to Customer may equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,1
579,113610,113814,USF agrees regular deliveries will not be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,USF agrees regular deliveries may be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,1
579,113601,113815,Customer shall make arrangements through USF order department for any goods to be returned to USF.,Customer shall not make arrangements through USF order department for any goods to be returned to USF.,1
581,114147,114402,Sponsor shall use best efforts to respond in writing to such Change Order promptly.,Sponsor must not use best efforts to respond in writing to such Change Order promptly.,1
581,114375,114404,CBSI will retain the originals in its archives.,CBSI may retain the originals in its archives.,1
582,114415,114548,AorTech shall use only approved suppliers listed on AorTech's approved supplier list when purchasing such material.,AorTech may use unapproved suppliers listed on AorTech's unapproved supplier list when purchasing such material.,1
582,114434,114549,"AorTech will return materials to suppliers for credit, less restocking fees, when appropriate.","AorTech may return materials to suppliers for credit, less restocking fees, when appropriate.",1
583,114583,114706,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur.",1
583,114593,114707,"At the end of the term of this Agreement, 7UP/RC may use the Equipment to produce Products as well as other energy drinks.","At the end of the term of this Agreement, 7UP/RC shall not use the Equipment to produce Products as well as other energy drinks.",1
583,114708,114581,"At any time during the term of this Agreement, 7UP/RC shall not pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.","At any time during the term of this Agreement, 7UP/RC may pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.",1
583,114709,114585,"Purchaser shall not purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.","Purchaser shall purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.",1
583,114615,114710,"In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall be responsible for all expenses of the recall.","In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall not be responsible for all expenses of the recall.",1
583,114577,114711,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC may charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
583,114589,114712,Purchaser shall also be responsible for all property taxes on the equipment.,Purchaser may also be responsible for all property taxes on the equipment.,1
583,114577,114713,"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC shall not charge Purchaser and Purchaser shall not pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.",1
583,114591,114714,7UP/RC shall perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,7UP/RC shall not perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,1
583,114583,114715,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not Purchaser with suitable evidence establishing that a cost increase did occur.",1
583,114607,114716,Purchaser shall pay 7UP/RC a deposit equal to 7UP/RC standard rate which shall be refunded to Purchaser when the shells are returned.,Purchaser may pay 7UP/RC a deposit equal to 7UP/RC standard rate which may be refunded to Purchaser when the shells are returned.,1
583,114588,114717,Purchaser shall be responsible for the actual cost of the Equipment.,Purchaser may be responsible for the actual cost of the Equipment.,1
583,114678,114718,Purchaser shall also be financially responsible for all taxes and freight in connection with the New Equipment.,Purchaser may also be financially responsible for all taxes and freight in connection with the New Equipment.,1
583,114575,114719,Purchaser shall assume title and risk of loss for Product ordered upon delivery of Product to transport.,Purchaser shall not assume title and risk of loss for Product ordered upon delivery of Product to transport.,1
585,115201,115233,2.7 AMFS agrees that no fees shall be charged for the license granted hereunder.,2.7 AMFS agrees that no fees shall not be charged for the license granted hereunder.,1
586,115293,115381,9.5 The Company shall provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,9.5 The Company shall not provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,1
586,115339,115383,The Company may terminate the contract without cause and at no liability to the Company.,The Company shall not terminate the contract without cause and at no liability to the Company.,1
586,115266,115384,"2 4.3 The Company shall supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.","2 4.3 The Company shall not supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.",1
586,115286,115385,8.2 The Customer shall be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,8.2 The Customer shall not be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,1
586,115265,115386,"Upon receipt of debt owed, the Company will then release all Ingredients and Packaging Materials to the Customer.","Upon receipt of debt owed, the Company shall not then release all Ingredients and Packaging Materials to the Customer.",1
587,115574,115727,"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction.",1
587,115464,115723,Ligand shall be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,Ligand may be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,1
258,28929,28910,This Agreement shall be construed and enforced in accordance with the laws of the State of *** (without regard to principles of conflicts of law).,"1.2 Patheon shall pay *** *** 1.3 Subject to Sections 5 and 6 hereof, Santarus shall pay *** *** *** *** 2.",0
258,28921,28930,6.2 Patheon shall conduct routine and preventative maintenance of the Packaging Equipment.,9.,0
258,28929,28918,This Agreement shall be construed and enforced in accordance with the laws of the State of *** (without regard to principles of conflicts of law).,"PATHEON REIMBURSEMENT No later than the *** following the date upon which Patheon has delivered to Santarus an aggregate of *** of SAN05 under the terms of the MSA, Patheon shall pay to Santarus the Reimbursement Amount.",0
258,28935,28918,Neither party may assign or otherwise transfer its rights or obligations hereunder without the prior written consent of the other party.,"PATHEON REIMBURSEMENT No later than the *** following the date upon which Patheon has delivered to Santarus an aggregate of *** of SAN05 under the terms of the MSA, Patheon shall pay to Santarus the Reimbursement Amount.",0
258,28920,28928,"TERMS & CONDITIONS WHILE PACKAGING EQUIPMENT IS OWNED BY SANTARUS Between the date hereof and the date Patheon has paid the Reimbursement Amount to Santarus: 6.1 Patheon shall operate and use the Packaging Equipment in accordance with the instructions set forth in the service manual provided by the manufacturer(s) of the Packaging Equipment, if any.",8.,0
258,28916,28935,4.,Neither party may assign or otherwise transfer its rights or obligations hereunder without the prior written consent of the other party.,0
258,28937,28933,4 above.,The parties may modify or amend the provisions hereof only by an instrument in writing duly executed by both of the parties.,0
258,28913,28916,*** Portions of this page have been omitted pursuant to a request for Confidential Treatment and filed separately with the Commission.,4.,0
258,28926,28918,"6.6 In the event that the MSA is terminated or expires prior to the payment by Patheon of the Reimbursement Amount pursuant to Section 5, *** *** *** *** (c) If Santarus desires the return of the Packaging Equipment, then Santarus shall pay Patheon for all reasonable costs relating to: i) *** *** ii) *** 7.","PATHEON REIMBURSEMENT No later than the *** following the date upon which Patheon has delivered to Santarus an aggregate of *** of SAN05 under the terms of the MSA, Patheon shall pay to Santarus the Reimbursement Amount.",0
258,28913,28909,*** Portions of this page have been omitted pursuant to a request for Confidential Treatment and filed separately with the Commission.,"The capital expenditures and related costs (the ""Expenditures"") associated with the Facility Improvements and Packaging Equipment is also detailed in Schedule A.",0
258,28929,28911,This Agreement shall be construed and enforced in accordance with the laws of the State of *** (without regard to principles of conflicts of law).,"EXPENDITURE APPROVAL Before any Packaging Equipment Expenditures are incurred by Patheon, it shall first obtain the prior written approval of Santarus for such Expenditure.",0
258,28910,28910,"1.2 Patheon shall pay *** *** 1.3 Subject to Sections 5 and 6 hereof, Santarus shall pay *** *** *** *** 2.","1.2 Patheon shall pay *** *** 1.3 Subject to Sections 5 and 6 hereof, Santarus shall pay *** *** *** *** 2.",0
258,28912,28935,Such approval may be obtained by an authorized representative of Santarus executing the relevant Patheon Capital Appropriation Approval Form.,Neither party may assign or otherwise transfer its rights or obligations hereunder without the prior written consent of the other party.,0
258,28926,28920,"6.6 In the event that the MSA is terminated or expires prior to the payment by Patheon of the Reimbursement Amount pursuant to Section 5, *** *** *** *** (c) If Santarus desires the return of the Packaging Equipment, then Santarus shall pay Patheon for all reasonable costs relating to: i) *** *** ii) *** 7.","TERMS & CONDITIONS WHILE PACKAGING EQUIPMENT IS OWNED BY SANTARUS Between the date hereof and the date Patheon has paid the Reimbursement Amount to Santarus: 6.1 Patheon shall operate and use the Packaging Equipment in accordance with the instructions set forth in the service manual provided by the manufacturer(s) of the Packaging Equipment, if any.",0
619,122609,122527,"Topps shall indemnify, defend and hold harmless Hershey from and against any and all claims, demands, suits, judgments, costs and expenses, including, without limitation, reasonable attorneys' fees, resulting from or arising out of any breach or violation of any representation, warranty or guarantee of Topps in this paragraph 5(a).",Any new technology or intellectual property or portion thereof developed solely by Hershey is to remain confidential and shall be owned by Hershey.,0
619,122575,122599,"(d) Topps has provided Hershey with specifications, formula sequences, time requirements and quality standards, which Topps may revise from timetotime, for the Products and/or the Packaged Products and any ingredient or component thereof which Hershey is to purchase hereunder.","If as a result of the exercise of the right granted pursuant to this Section 4(c), Topps shall acquire confidential, proprietary or trade secret information, Topps shall take all steps necessary to keep such information confidential and shall not use such information other than for analyzing Product quality as specifically set forth in Sections 4(c)(i) and 4(c)(ii).",0
619,122641,122441,": Director, Manufacturing With a copy to: Hershey Foods Corporation 100 Crystal A Drive Hershey, PA 17033 Attn.","(c) Topps shall provide to Hershey by the 1st of each month in which this Agreement is in effect a written firm purchase order for the next calendar month (the ""Purchase Order"").",0
619,122494,122660,Interest will accrue on any amount remaining unpaid at the end of such 30 day period at the rate of 1% per month unless Topps has notified Hershey of its good faith dispute of any invoiced item.,"In the event that Topps visits a Hershey facility in order to render assistance to Hershey, Topps may be asked to sign a Visitor Agreement (attached hereto as Exhibit A) containing a confidentiality provision which is of a term longer than this agreement; in such case the term and the conditions of such Visitor Agreement where they are inconsistent with this Agreement shall supersede this Agreement except that the reference in the Visitor's Agreement to ideas, as Proprietary Information, shall be deemed deleted.",0
619,122525,122531,"Topps specifically acknowledges that the technology, processing and operation of Hershey's continuous gum and base making process and the formulas are deemed proprietary intellectual property and/or trade secret information by Hershey and will be governed by the terms of this Agreement.","(e) After development of any item for which Topps requested Hershey's assistance as set forth above, Hershey shall have the first option to be the manufacturer for such changed or new product in the Territory so long as the cost to Topps (including capital costs and unit prices) shall be no greater than Topps can obtain elsewhere.",0
619,122591,122490,"Notwithstanding the foregoing, Hershey makes no representation or warranty of any kind to the extent any Product or Packaged Product fails to comply with (i) (iii) above to the extent the noncompliance is the result of (x) ingredients or Packaging components supplied by Topps, (y) the specifications, formula, sequences and instructions for the manufacturing process provided by Topps, or (z)any of the written specifications for the Packaged Product given to Hershey by Topps.","The new prices will be effective after use of the current inventory, using a FIFO depletion method.",0
619,122493,122651,Topps will pay Hershey the invoiced amount within 30 days of the invoice date.,"(ii) All costs and expenses of the recall shall be paid by Hershey if the reason for the recall is due to any event which occurred, or which failed to occur, while the Product or the Packaged Product was in the possession or control of Hershey (including, without limitation, the inclusion of foreign material or the inclusion of the product or the Packaged Product of ingredients or components that are or may be injurious to health), unless (A) the recall was the result of flavor or color ingredients or packaging components from a Topps approved supplier and Hershey has entered into a written agreement with such supplier under which Topps actually has an enforceable claim against such supplier as a third party beneficiary thereof (in which case Topps shall bear the costs and expenses of the recall) or (B) the ingredients or components were those supplied by Topps or (C) the recall was the result of any of the items for which Hershey is not responsible for under paragraph 4(b) (x), (y) or (z) or the proviso regarding Bazooka flavor contained in the second sentence of paragraph 4(b).",0
619,122484,122431,"Output changes, if any, will be based on the last six months' prior to October actual average output of each Packaged Product unless extenuating circumstances affected the sixmonth average.","EXECUTION COPY AMENDED AND RESTATED MANUFACTURING AGREEMENT This Amended and Restated Manufacturing Agreement is dated as of this 13th day of March, 1998 by and between Hershey Foods Corporation, a Delaware corporation with an address of 14 E. Chocolate Avenue, Hershey, PA 17033 Hershey (hereinafter ""Hershey"" ) and The Topps Company, Inc., a Delaware corporation, having offices at One Whitehall Street, New York, NY 100042109 (hereinafter ""Topps"").",0
619,122444,122586,"Upon receipt of the Purchase Order, Hershey shall notify Topps of its acceptance or rejection (only as permitted below) of the Purchase Order.","In the event any revision by Topps would increase the cost of performance to Hershey hereunder, then Hershey shall have the right to adjust the pricing of the Product as necessary.",0
619,122536,122528,"Topps shall either supply, or at its option pay for, all pallets and slip sheets to be used.","Any new technology or intellectual property developed jointly by Topps and Hershey will be owned jointly by the two parties, and each party shall have the unrestricted right to utilize, modify, enhance, replicate, and create derivatives of such technology or intellectual property.",0
619,122432,122642,"RECITALS WHEREAS, Topps and Leaf, Inc. entered into a Manufacturing Agreement as of November 6, 1996 (the ""Original Agreement""); WHEREAS, Hershey purchased Leaf, Inc. on December 30, 1996; WHEREAS, Topps and Hershey wish to amend and restate the terms upon which Hershey will manufacture for Topps the gum product(s) described on Schedule A (the ""Product"") and package the Product in certain packaging and labeling including, inter alia, Topps' name, trademarks and trade dress (the ""Packaging"")(the Product as packaged in the packaging is referred to herein as the ""Packaged Product"") for sale in the United States (the ""Territory""); and WHEREAS, Hershey and Topps desire to enter into this Agreement for the mutual considerations stated in this Agreement, in order to establish their respective rights, conditions, obligations and responsibilities with regard to the manufacture, supply and sale of the Packaged Products.",": Vice PresidentGeneral Counsel If to Topps: The Topps Company, Inc. 401 York Avenue Duryea, PA 18642 Attn: Vice PresidentManufacturing With copies to: The Topps Company, Inc. One Whitehall Street New York, NY 100042109 Attn.",0
619,122607,122565,"In the event that Topps receives a claim or notice of suit alleging such infringement, Topps shall promptly notify Hershey.",Topps will reimburse Hershey for all of its outofpocket expenses for Hershey's actual capital expense and capital costs for installing the machinery provided by Topps.,0
619,122589,122539,"(b) Hershey shall, at its sole cost, secure and maintain all necessary licenses, permits, authorizations or other approvals necessary for its performance hereunder including, without limitation, all licenses, permits and approvals required by the Federal Food and Drug Administration (the ""FDA"").","(g) Hershey shall not be liable for failure to perform or delay in performance hereunder if such failure or delay is due to fire, storms, floods, labor disputes, strikes, lockouts, war, riots, or civil commotion, embargoes, government or industry regulation, act of God, or any other cause or contingency beyond its reasonable control.",0
